program	description	title	author	real_name	source_url	kind	section	tags	collection	series
action/kosmicheskiy-desant.txt	action/kosmicheskiy-desant.md	kosmicheskiy desant	М. Голиков		https://lordbss.narod.ru/pmk216.html	game	action	classic;military;space	lordbss	
action/kosmopol.txt	action/kosmopol.md	kosmopol	Александр Михолап	Евгений Кузниченко	https://lordbss.narod.ru/pmk07.html	game	action	classic;space	lordbss	
action/kung-fu.txt	action/kung-fu.md	Kung-Fu	Константин Сергеев	Евгений Кузниченко	https://lordbss.narod.ru/pmk120.html	game	action	classic	lordbss	
action/mafiozi.txt	action/mafiozi.md	mafiozi	А. Камоедов		https://lordbss.narod.ru/pmk04.html	game	action	classic	lordbss	
action/myatezhnik.txt	action/myatezhnik.md	myatezhnik	Сергей Шинкевич	Евгений Кузниченко	https://lordbss.narod.ru/pmk238.html	game	action	classic	lordbss	
action/navesnaya-strelba-dolgushin-notebook.txt	action/navesnaya-strelba-dolgushin-notebook.md	Навесная стрельба	автор неизвестен; редакция Александра Долгушина		https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", Рисунок (26).jpg; Рисунок (27).jpg; Рисунок (97).jpg: указание редакции	game	action	manuscript	dolgushin-notebook	
action/nindzya-terminator.txt	action/nindzya-terminator.md	nindzya-terminator	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk15.html	game	action	classic	lordbss	
action/okhota-na-dinozavrov.txt	action/okhota-na-dinozavrov.md	okhota na dinozavrov	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk184.html	game	action	classic	lordbss	
action/okhota-na-medvedya-4pda.txt	action/okhota-na-medvedya-4pda.md	Охота на медведя, доработка 4PDA	Сергей Храмов; доработка 4PDA user 9123742		https://4pda.to/forum/index.php?showuser=9123742	game	action			
action/okhota-na-medvedya-variant.txt	action/okhota-na-medvedya-variant.md	Охота на медведя			https://xvadim.github.io/xbasoft/pmk/bear_hunt.zip	game	action	variant		
action/okhota-na-medvedya.txt	action/okhota-na-medvedya.md	Охота на медведя	Сергей Храмов		PDF "Охота на медведя", 2020	game	action			
action/okhota-na-skaloeda.txt	action/okhota-na-skaloeda.md	okhota na skaloeda	М. Пухов		https://lordbss.narod.ru/pmk185.html	game	action	classic	lordbss	
action/okhota-na-sklyupikov.txt	action/okhota-na-sklyupikov.md	okhota na sklyupikov	Александр Клишин	Евгений Кузниченко	https://lordbss.narod.ru/pmk183.html	game	action	classic	lordbss	
action/opasnaya-igra.txt	action/opasnaya-igra.md	opasnaya igra	Сергей Тарасов	Евгений Кузниченко	https://lordbss.narod.ru/pmk163.html; https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", Рисунок (76).jpg; Рисунок (77).jpg	game	action	classic	lordbss	
action/peredovoy-otryad.txt	action/peredovoy-otryad.md	peredovoy otryad	П. Аронович		https://lordbss.narod.ru/pmk165.html	game	action	classic	lordbss	
action/perekhvat.txt	action/perekhvat.md	perekhvat	В. Масенков, Михаил Лялин		https://lordbss.narod.ru/pmk118.html	game	action	classic	lordbss	
action/perekhvatchik.txt	action/perekhvatchik.md	perekhvatchik	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk205.html	game	action	classic	lordbss	
action/pervoprokhodets.txt	action/pervoprokhodets.md	pervoprokhodets	Игорь Вершинин	Евгений Кузниченко	https://lordbss.narod.ru/pmk166.html	game	action	classic	lordbss	
action/planet-z.txt	action/planet-z.md	Planet Z	Сергей Устюгов	Евгений Кузниченко	https://lordbss.narod.ru/pmk103.html	game	action	classic	lordbss	
action/poedinok-na-orbite.txt	action/poedinok-na-orbite.md	poedinok na orbite	Игорь Вершинин	Евгений Кузниченко	https://lordbss.narod.ru/pmk217.html	game	action	classic;space	lordbss	
action/poedinok-s-tankom-gaishtut-1988.txt	action/poedinok-s-tankom-gaishtut-1988.md	Поединок с танком			А. Г. Гайштут, Калькулятор - твой помощник и соперник в играх, 1988, с. 123.	game	action	book;classic;military	gaishtut-1988	
action/poedinok.txt	action/poedinok.md	poedinok	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk70.html	game	action	classic	lordbss	
action/pogonya-v-lesu.txt	action/pogonya-v-lesu.md	pogonya v lesu	Александр Михолап	Евгений Кузниченко	https://lordbss.narod.ru/pmk187.html	game	action	classic	lordbss	
action/pogonya.txt	action/pogonya.md	pogonya	Сергей Шинкевич	Евгений Кузниченко	https://lordbss.narod.ru/pmk47.html	game	action	classic	lordbss	
action/policeman.txt	action/policeman.md	Policeman	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk99.html	game	action	classic	lordbss	
action/pursuit.txt	action/pursuit.md	Pursuit	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk130.html	game	action	classic	lordbss	
action/rambo-i.txt	action/rambo-i.md	Rambo-I	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk51.html	game	action	classic;military	lordbss	rambo
action/rambo-ii.txt	action/rambo-ii.md	Rambo-II	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk52.html	game	action	classic;military	lordbss	rambo
action/rambo-iii.txt	action/rambo-iii.md	Rambo-III	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk53.html	game	action	classic;military	lordbss	rambo
action/robin-hood.txt	action/robin-hood.md	Robin Hood	С. Андрианов		https://lordbss.narod.ru/pmk45.html	game	action	classic	lordbss	
action/roboteks.txt	action/roboteks.md	roboteks	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk225.html	game	action	classic	lordbss	
action/rukopashnyy-boy.txt	action/rukopashnyy-boy.md	rukopashnyy boy	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk60.html	game	action	classic;military	lordbss	
action/samurai-dolgushin-notebook.txt	action/samurai-dolgushin-notebook.md	Самурай	Александр Долгушин		https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", программа 42; https://vk.com/wall-115251268_31; Рисунок (97).jpg: указание авторства	game	action	manuscript	dolgushin-notebook	
action/sherif.txt	action/sherif.md	sherif	автор неизвестен	Евгений Кузниченко	https://lordbss.narod.ru/pmk24.html	game	action	classic;western	lordbss	
action/shturmovik.txt	action/shturmovik.md	shturmovik	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk204.html	game	action	aviation;classic;military	lordbss	
action/skorpion.txt	action/skorpion.md	skorpion	Олег Хажинский	Евгений Кузниченко	https://lordbss.narod.ru/pmk241.html	game	action	classic	lordbss	
action/smertelnaya-igra.txt	action/smertelnaya-igra.md	Смертельная игра	Сергей Тарасов		http://arbinada.ddns.net/pmk-files/magazines/%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0%20%D0%B8%20%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%201989-1992%20%D0%9F%D0%9C%D0%9A.zip	game	action			
action/soldat-udachi-2.txt	action/soldat-udachi-2.md	soldat udachi-2	Дмитрий Родионов	Евгений Кузниченко	https://lordbss.narod.ru/pmk136.html	game	action	classic;military	lordbss	
action/soldier-of-fortune.txt	action/soldier-of-fortune.md	Soldier Of Fortune	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk107.html	game	action	classic	lordbss	
action/space-ranger-dolgushin-notebook.txt	action/space-ranger-dolgushin-notebook.md	SPACE RANGER	Александр Долгушин		https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", Рисунок (38).jpg; Рисунок (39).jpg; Рисунок (40).jpg; Рисунок (97).jpg: указание авторства	game	action	manuscript	dolgushin-notebook	
action/stinger.txt	action/stinger.md	stinger	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk209.html	game	action	classic;military	lordbss	
action/super-pushka.txt	action/super-pushka.md	super-pushka	автор неизвестен	Евгений Кузниченко	https://lordbss.narod.ru/pmk246.html	game	action	classic;military	lordbss	
action/the-last-sapper-of-the-galaxy.txt	action/the-last-sapper-of-the-galaxy.md	The Last Sapper Of The Galaxy	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk111.html	game	action	classic	lordbss	
action/tir-2.txt	action/tir-2.md	tir-2	Сергей Тарасов, Александр Клишин		https://lordbss.narod.ru/pmk232.html	game	action	classic	lordbss	
action/tir.txt	action/tir.md	tir	Сергей Тарасов, Александр Клишин		https://lordbss.narod.ru/pmk231.html	game	action	classic	lordbss	
action/tsel-begushchiy-kaban-gaishtut-1988.txt	action/tsel-begushchiy-kaban-gaishtut-1988.md	Цель - "Бегущий кабан"			А. Г. Гайштут, Калькулятор - твой помощник и соперник в играх, 1988, с. 171.	game	action	book;classic	gaishtut-1988	
action/uchebnye-strelby-gaishtut-1988.txt	action/uchebnye-strelby-gaishtut-1988.md	Учебные стрельбы			А. Г. Гайштут, Калькулятор - твой помощник и соперник в играх, 1988, с. 182.	game	action	book;classic	gaishtut-1988	
action/vozdushnyy-boy.txt	action/vozdushnyy-boy.md	vozdushnyy boy	М. Семёнов		https://lordbss.narod.ru/pmk214.html	game	action	aviation;classic;military	lordbss	
action/vozdushnyy-desant.txt	action/vozdushnyy-desant.md	vozdushnyy desant	Сергей Шинкевич	Евгений Кузниченко	https://lordbss.narod.ru/pmk207.html	game	action	aviation;classic;military	lordbss	
action/western.txt	action/western.md	Western	Константин Сергеев	Евгений Кузниченко	https://lordbss.narod.ru/pmk06.html	game	action	classic;western	lordbss	
